EDUID,Student Name,Course ID,Section ID,Math Scale Score,Math Performance Level,ELA Scale Score,ELA Performance Level
462FAKE58,Bella Patel,BUZZ-MATH-8,SEC-02,729,Proficient,703,Basic
860FAKE68,Mia Miller,BUZZ-ELA-8,SEC-03,631,Below Basic,603,Below Basic
574FAKE89,Asher Hall,BUZZ-MATH-7,SEC-02,781,Advanced,648,Below Basic
762FAKE67,Daniel Jones,BUZZ-ELA-8,SEC-03,753,Proficient,738,Proficient
937FAKE61,David Thomas,BUZZ-ELA-8,SEC-03,794,Advanced,775,Advanced
605FAKE44,Dylan Taylor,BUZZ-SCI-7,SEC-01,679,Basic,756,Proficient
755FAKE42,Mateo Wilson,BUZZ-ELA-7,SEC-03,757,Proficient,674,Basic
917FAKE69,Anthony Harris,BUZZ-ELA-7,SEC-03,798,Advanced,783,Advanced
815FAKE40,Camila Kumar,BUZZ-ELA-7,SEC-03,714,Basic,689,Basic
562FAKE45,Daniel Perez,BUZZ-ELA-7,SEC-01,770,Advanced,800,Advanced
874FAKE61,James Roberts,BUZZ-SCI-7,SEC-03,635,Below Basic,627,Below Basic
951FAKE13,Thomas Kim,BUZZ-MATH-8,SEC-01,710,Basic,638,Below Basic
647FAKE76,Jackson Wright,BUZZ-SCI-7,SEC-03,792,Advanced,789,Advanced
893FAKE70,Lincoln Garcia,BUZZ-MATH-8,SEC-02,717,Basic,795,Advanced
820FAKE55,Liam Campbell,BUZZ-ELA-7,SEC-02,657,Below Basic,602,Below Basic
607FAKE30,Riley Thomas,BUZZ-ELA-7,SEC-03,793,Advanced,762,Proficient
408FAKE63,John Young,BUZZ-ELA-8,SEC-02,800,Advanced,726,Proficient
424FAKE63,Joseph Taylor,BUZZ-MATH-7,SEC-01,797,Advanced,740,Proficient
648FAKE91,Asher Rivera,BUZZ-MATH-8,SEC-01,656,Below Basic,629,Below Basic
923FAKE79,Bella Jackson,BUZZ-ELA-8,SEC-03,705,Basic,748,Proficient
180FAKE44,Josiah Thomas,BUZZ-ELA-8,SEC-02,689,Basic,614,Below Basic
307FAKE68,William Patel,BUZZ-SCI-7,SEC-02,694,Basic,762,Proficient
647FAKE83,Jaxon Wilson,BUZZ-ELA-8,SEC-02,733,Proficient,723,Proficient
543FAKE61,Jacob Johnson,BUZZ-ELA-8,SEC-02,613,Below Basic,750,Proficient
680FAKE45,Camila Gonzalez,BUZZ-MATH-8,SEC-01,708,Basic,717,Basic
629FAKE53,Sofia Adams,BUZZ-MATH-7,SEC-02,764,Proficient,692,Basic
222FAKE77,Anthony Campbell,BUZZ-SCI-7,SEC-01,628,Below Basic,733,Proficient
362FAKE65,Camila King,BUZZ-MATH-8,SEC-02,602,Below Basic,766,Proficient
215FAKE49,Thomas Rivera,BUZZ-ELA-7,SEC-03,632,Below Basic,620,Below Basic
838FAKE91,Anthony Chen,BUZZ-MATH-7,SEC-03,696,Basic,691,Basic
592FAKE73,Olivia Flores,BUZZ-ELA-7,SEC-03,602,Below Basic,765,Proficient
114FAKE24,Noah Wright,BUZZ-ELA-7,SEC-02,769,Proficient,728,Proficient
345FAKE42,Olivia Hill,BUZZ-MATH-8,SEC-02,700,Basic,778,Advanced
777FAKE82,Alexander Martinez,BUZZ-ELA-8,SEC-02,657,Below Basic,655,Below Basic
815FAKE93,Zoey Chen,BUZZ-MATH-7,SEC-03,664,Basic,770,Advanced
669FAKE81,Isabella Lewis,BUZZ-MATH-7,SEC-01,791,Advanced,788,Advanced
213FAKE12,Anthony Kim,BUZZ-ELA-7,SEC-02,722,Proficient,692,Basic
592FAKE15,Jack Walker,BUZZ-ELA-7,SEC-01,601,Below Basic,695,Basic
538FAKE74,Nora Hernandez,BUZZ-ELA-8,SEC-03,695,Basic,747,Proficient
275FAKE69,Anthony Hill,BUZZ-MATH-7,SEC-03,741,Proficient,750,Proficient
845FAKE10,Paisley Baker,BUZZ-SCI-7,SEC-01,651,Below Basic,694,Basic
604FAKE24,Ella Garcia,BUZZ-MATH-7,SEC-01,755,Proficient,752,Proficient
295FAKE88,Henry Young,BUZZ-ELA-7,SEC-02,756,Proficient,641,Below Basic
573FAKE46,Bella Harris,BUZZ-ELA-7,SEC-02,789,Advanced,787,Advanced
818FAKE98,Sophia Martinez,BUZZ-MATH-7,SEC-01,701,Basic,716,Basic
138FAKE52,James Hill,BUZZ-SCI-7,SEC-03,621,Below Basic,745,Proficient
777FAKE78,Sebastian Roberts,BUZZ-MATH-7,SEC-03,669,Basic,686,Basic
582FAKE51,Olivia Martinez,BUZZ-ELA-7,SEC-03,758,Proficient,795,Advanced
473FAKE21,Jaxon Lewis,BUZZ-MATH-8,SEC-03,644,Below Basic,736,Proficient
749FAKE76,Jack Nelson,BUZZ-MATH-7,SEC-01,736,Proficient,623,Below Basic
694FAKE33,Mia Hall,BUZZ-MATH-7,SEC-02,668,Basic,753,Proficient
679FAKE28,Michael Singh,BUZZ-SCI-7,SEC-02,680,Basic,708,Basic
533FAKE89,Avery Anderson,BUZZ-SCI-7,SEC-02,656,Below Basic,739,Proficient
598FAKE20,Josiah Nguyen,BUZZ-ELA-7,SEC-01,750,Proficient,798,Advanced
245FAKE17,Henry Roberts,BUZZ-MATH-8,SEC-01,770,Advanced,731,Proficient
947FAKE62,Mateo Jones,BUZZ-MATH-7,SEC-03,741,Proficient,723,Proficient
745FAKE61,Layla Thompson,BUZZ-MATH-8,SEC-03,749,Proficient,633,Below Basic
308FAKE17,Alexander Robinson,BUZZ-MATH-8,SEC-01,672,Basic,800,Advanced
784FAKE80,Thomas Lewis,BUZZ-MATH-8,SEC-03,689,Basic,613,Below Basic
922FAKE21,Charlotte Thomas,BUZZ-ELA-8,SEC-02,728,Proficient,796,Advanced
798FAKE94,Lily Singh,BUZZ-MATH-8,SEC-03,756,Proficient,723,Proficient
983FAKE40,Anthony Johnson,BUZZ-MATH-8,SEC-02,768,Proficient,762,Proficient
302FAKE43,Stella Brown,BUZZ-MATH-7,SEC-03,642,Below Basic,655,Below Basic
873FAKE52,Aria Wilson,BUZZ-ELA-8,SEC-01,618,Below Basic,622,Below Basic
675FAKE28,Ella Young,BUZZ-ELA-7,SEC-01,739,Proficient,745,Proficient
224FAKE48,Josiah Carter,BUZZ-ELA-8,SEC-01,778,Advanced,623,Below Basic
443FAKE53,Sebastian Scott,BUZZ-SCI-7,SEC-03,616,Below Basic,687,Basic
935FAKE17,Victoria Campbell,BUZZ-ELA-7,SEC-03,700,Basic,751,Proficient
217FAKE60,Joseph Hill,BUZZ-ELA-7,SEC-02,639,Below Basic,659,Below Basic
842FAKE68,Andrew Kumar,BUZZ-SCI-7,SEC-03,771,Advanced,742,Proficient
530FAKE91,Penelope Jones,BUZZ-ELA-7,SEC-01,780,Advanced,725,Proficient
171FAKE63,Noah Garcia,BUZZ-ELA-8,SEC-03,754,Proficient,745,Proficient
585FAKE99,Elizabeth Martinez,BUZZ-MATH-7,SEC-01,763,Proficient,660,Basic
330FAKE37,Asher Thompson,BUZZ-ELA-8,SEC-01,731,Proficient,754,Proficient
666FAKE60,Ethan Torres,BUZZ-MATH-7,SEC-03,754,Proficient,643,Below Basic
902FAKE83,Hannah Brown,BUZZ-ELA-7,SEC-01,797,Advanced,661,Basic
914FAKE20,Emma Ramirez,BUZZ-MATH-7,SEC-03,729,Proficient,800,Advanced
320FAKE98,Hannah Young,BUZZ-ELA-7,SEC-02,740,Proficient,660,Basic
524FAKE16,Josiah Harris,BUZZ-MATH-8,SEC-02,696,Basic,687,Basic
833FAKE37,Abigail Thompson,BUZZ-MATH-8,SEC-02,716,Basic,658,Below Basic
412FAKE82,Gabriel King,BUZZ-ELA-8,SEC-02,729,Proficient,640,Below Basic
738FAKE23,Aiden Martin,BUZZ-SCI-7,SEC-02,630,Below Basic,706,Basic
873FAKE39,Skylar Lewis,BUZZ-MATH-7,SEC-03,742,Proficient,686,Basic
398FAKE97,Thomas Moore,BUZZ-MATH-8,SEC-01,764,Proficient,647,Below Basic
573FAKE51,Evelyn Clark,BUZZ-MATH-7,SEC-02,786,Advanced,656,Below Basic
931FAKE57,Benjamin Lee,BUZZ-ELA-8,SEC-02,800,Advanced,782,Advanced
261FAKE67,Skylar Rodriguez,BUZZ-ELA-7,SEC-01,737,Proficient,769,Proficient
681FAKE98,Anthony Shah,BUZZ-SCI-7,SEC-03,639,Below Basic,698,Basic
723FAKE15,Michael Jackson,BUZZ-SCI-7,SEC-02,785,Advanced,668,Basic
457FAKE78,Zoey Davis,BUZZ-SCI-7,SEC-01,665,Basic,745,Proficient
917FAKE43,Elizabeth Davis,BUZZ-ELA-7,SEC-03,751,Proficient,600,Below Basic
258FAKE93,Grace Nelson,BUZZ-SCI-7,SEC-03,778,Advanced,770,Advanced
647FAKE55,Leo Rivera,BUZZ-ELA-8,SEC-02,782,Advanced,644,Below Basic
695FAKE87,Paisley Nelson,BUZZ-SCI-7,SEC-01,738,Proficient,771,Advanced
577FAKE70,David Walker,BUZZ-SCI-7,SEC-02,764,Proficient,622,Below Basic
868FAKE76,Michael Hall,BUZZ-ELA-8,SEC-03,725,Proficient,766,Proficient
299FAKE42,Emma Nguyen,BUZZ-MATH-8,SEC-01,678,Basic,764,Proficient
656FAKE42,James Adams,BUZZ-MATH-7,SEC-03,690,Basic,701,Basic
984FAKE82,Layla Hall,BUZZ-ELA-7,SEC-02,767,Proficient,734,Proficient
386FAKE72,Sophia Rodriguez,BUZZ-SCI-7,SEC-03,626,Below Basic,637,Below Basic
243FAKE89,Logan Jones,BUZZ-ELA-8,SEC-01,662,Basic,690,Basic
873FAKE58,Nora Taylor,BUZZ-ELA-8,SEC-02,726,Proficient,679,Basic
735FAKE89,Joseph Martin,BUZZ-ELA-8,SEC-01,673,Basic,675,Basic
513FAKE40,Camila Thompson,BUZZ-ELA-7,SEC-02,646,Below Basic,712,Basic
348FAKE84,Chloe Lee,BUZZ-MATH-7,SEC-01,797,Advanced,652,Below Basic
905FAKE79,Nora Campbell,BUZZ-SCI-7,SEC-03,715,Basic,650,Below Basic
417FAKE40,Leo Martinez,BUZZ-ELA-8,SEC-01,757,Proficient,759,Proficient
400FAKE41,Liam Green,BUZZ-MATH-7,SEC-03,762,Proficient,767,Proficient
386FAKE55,Stella Patel,BUZZ-ELA-8,SEC-03,740,Proficient,717,Basic
483FAKE58,Joseph Ramirez,BUZZ-MATH-7,SEC-02,740,Proficient,794,Advanced
142FAKE25,Aria Miller,BUZZ-MATH-7,SEC-01,787,Advanced,723,Proficient
676FAKE17,Harper Carter,BUZZ-ELA-7,SEC-03,744,Proficient,631,Below Basic
693FAKE68,Victoria Rodriguez,BUZZ-ELA-7,SEC-02,650,Below Basic,600,Below Basic
861FAKE48,Amelia Allen,BUZZ-MATH-7,SEC-02,761,Proficient,625,Below Basic
999FAKE42,William Lee,BUZZ-MATH-8,SEC-01,671,Basic,678,Basic
725FAKE53,Camila Green,BUZZ-ELA-8,SEC-01,659,Below Basic,737,Proficient
136FAKE60,Aiden Thomas,BUZZ-SCI-7,SEC-03,753,Proficient,650,Below Basic
746FAKE27,Jaxon Baker,BUZZ-ELA-7,SEC-01,781,Advanced,731,Proficient
748FAKE56,Joseph Walker,BUZZ-SCI-7,SEC-02,734,Proficient,630,Below Basic
455FAKE41,Joseph Kim,BUZZ-SCI-7,SEC-02,691,Basic,730,Proficient
504FAKE31,Skylar Sanchez,BUZZ-MATH-7,SEC-01,781,Advanced,788,Advanced
661FAKE98,Liam Carter,BUZZ-ELA-7,SEC-01,773,Advanced,683,Basic
223FAKE61,Jaxon Rodriguez,BUZZ-MATH-8,SEC-01,671,Basic,740,Proficient
371FAKE11,Leo Chen,BUZZ-MATH-7,SEC-02,755,Proficient,698,Basic
486FAKE27,Asher Moore,BUZZ-ELA-7,SEC-03,659,Below Basic,669,Basic
552FAKE66,Alexander Carter,BUZZ-ELA-8,SEC-02,746,Proficient,776,Advanced
530FAKE99,Joseph Patel,BUZZ-ELA-8,SEC-01,756,Proficient,624,Below Basic
817FAKE94,Joseph Harris,BUZZ-ELA-7,SEC-03,766,Proficient,626,Below Basic
224FAKE41,Leo Walker,BUZZ-MATH-7,SEC-01,742,Proficient,660,Basic
238FAKE65,Amelia Rivera,BUZZ-ELA-8,SEC-03,773,Advanced,683,Basic
778FAKE70,Jack Campbell,BUZZ-MATH-8,SEC-03,719,Basic,664,Basic
600FAKE29,Evelyn Jones,BUZZ-ELA-7,SEC-03,706,Basic,779,Advanced
233FAKE73,Elizabeth Patel,BUZZ-ELA-8,SEC-03,678,Basic,673,Basic
718FAKE92,Noah Roberts,BUZZ-SCI-7,SEC-01,766,Proficient,717,Basic
248FAKE35,Sophia Garcia,BUZZ-ELA-8,SEC-02,730,Proficient,667,Basic
967FAKE13,Josiah Wilson,BUZZ-SCI-7,SEC-02,600,Below Basic,785,Advanced
549FAKE63,Jack Ramirez,BUZZ-SCI-7,SEC-03,782,Advanced,743,Proficient
826FAKE75,Evelyn Gonzalez,BUZZ-ELA-8,SEC-01,747,Proficient,778,Advanced
954FAKE14,Evelyn Hernandez,BUZZ-ELA-7,SEC-01,658,Below Basic,683,Basic
127FAKE53,Jackson Scott,BUZZ-SCI-7,SEC-01,732,Proficient,677,Basic
544FAKE15,Jack Brown,BUZZ-SCI-7,SEC-02,788,Advanced,678,Basic
818FAKE39,James Miller,BUZZ-MATH-7,SEC-03,727,Proficient,791,Advanced
838FAKE47,Emily Lee,BUZZ-MATH-7,SEC-01,743,Proficient,602,Below Basic
104FAKE84,Asher Carter,BUZZ-MATH-8,SEC-01,750,Proficient,746,Proficient
650FAKE93,Alexander Kumar,BUZZ-ELA-7,SEC-03,772,Advanced,798,Advanced
488FAKE20,Evelyn Martin,BUZZ-MATH-8,SEC-02,653,Below Basic,674,Basic
815FAKE29,Harper Rodriguez,BUZZ-ELA-7,SEC-03,730,Proficient,692,Basic
436FAKE82,Harper Harris,BUZZ-ELA-7,SEC-03,667,Basic,666,Basic
219FAKE18,Mia Allen,BUZZ-ELA-7,SEC-02,758,Proficient,790,Advanced
316FAKE22,Camila Nguyen,BUZZ-MATH-7,SEC-03,764,Proficient,647,Below Basic
809FAKE53,Natalie Davis,BUZZ-MATH-7,SEC-01,681,Basic,602,Below Basic
800FAKE77,Amelia Smith,BUZZ-SCI-7,SEC-03,730,Proficient,725,Proficient
844FAKE88,Theodore Williams,BUZZ-ELA-7,SEC-02,707,Basic,650,Below Basic
443FAKE83,Eleanor White,BUZZ-ELA-7,SEC-03,726,Proficient,755,Proficient
269FAKE37,Stella Flores,BUZZ-ELA-7,SEC-03,667,Basic,725,Proficient
486FAKE66,Thomas Roberts,BUZZ-ELA-8,SEC-01,695,Basic,705,Basic
150FAKE64,Ryan Jones,BUZZ-ELA-8,SEC-03,718,Basic,603,Below Basic
746FAKE58,Isabella Clark,BUZZ-SCI-7,SEC-03,792,Advanced,600,Below Basic
948FAKE48,Theodore Gonzalez,BUZZ-ELA-8,SEC-03,701,Basic,660,Basic
818FAKE23,Andrew Sanchez,BUZZ-MATH-7,SEC-03,759,Proficient,774,Advanced
180FAKE81,Emma Lee,BUZZ-MATH-7,SEC-03,722,Proficient,798,Advanced
613FAKE11,Grace Singh,BUZZ-ELA-7,SEC-01,678,Basic,729,Proficient
560FAKE69,Camila Walker,BUZZ-MATH-8,SEC-02,798,Advanced,605,Below Basic
608FAKE71,Bella King,BUZZ-ELA-8,SEC-03,756,Proficient,796,Advanced
699FAKE92,Olivia Lee,BUZZ-ELA-7,SEC-03,712,Basic,744,Proficient
433FAKE15,Dylan Wilson,BUZZ-MATH-7,SEC-01,774,Advanced,749,Proficient
139FAKE11,Aria Martinez,BUZZ-ELA-7,SEC-01,786,Advanced,758,Proficient
703FAKE11,Amelia Lee,BUZZ-ELA-8,SEC-02,786,Advanced,748,Proficient
520FAKE35,Liam Perez,BUZZ-SCI-7,SEC-02,600,Below Basic,778,Advanced
557FAKE27,Chloe Lopez,BUZZ-SCI-7,SEC-02,752,Proficient,647,Below Basic
832FAKE94,Isabella Perez,BUZZ-MATH-8,SEC-03,758,Proficient,651,Below Basic
